task_id,tier,category,model,run_index,success,n_steps,invalid_rate,tokens_used,halt_reason,wall_seconds,judge_score,judge_rationale
t4b_skip_bad_rows,4,agentic,claude-cli:claude-opus-4-8,2,True,2,0.0,1001,done,30.71,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-opus-4-8,0,True,5,0.0,2493,done,55.5,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-opus-4-8,1,True,5,0.0,2293,done,43.62,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-opus-4-8,2,True,5,0.0,2258,done,38.24,,
c_impl_function,3,coding,claude-cli:claude-opus-4-8,0,True,1,0.0,683,done,15.71,,
c_impl_function,3,coding,claude-cli:claude-opus-4-8,1,True,1,0.0,697,done,12.11,,
c_impl_function,3,coding,claude-cli:claude-opus-4-8,2,True,1,0.0,678,done,18.72,,
c_fix_bug,3,coding,claude-cli:claude-opus-4-8,0,True,3,0.0,1656,done,31.2,,
c_fix_bug,3,coding,claude-cli:claude-opus-4-8,1,True,3,0.0,1577,done,28.04,,
c_fix_bug,3,coding,claude-cli:claude-opus-4-8,2,True,3,0.0,1600,done,34.95,,
c_code_transform,2,coding,claude-cli:claude-opus-4-8,0,True,3,0.0,1646,done,30.65,,
c_code_transform,2,coding,claude-cli:claude-opus-4-8,1,True,3,0.0,1763,done,35.49,,
c_code_transform,2,coding,claude-cli:claude-opus-4-8,2,True,3,0.0,1678,done,34.47,,
r_multi_step_math,2,reasoning,claude-cli:claude-opus-4-8,0,True,2,0.0,952,done,25.15,,
r_multi_step_math,2,reasoning,claude-cli:claude-opus-4-8,1,True,2,0.0,931,done,21.5,,
r_multi_step_math,2,reasoning,claude-cli:claude-opus-4-8,2,True,2,0.0,953,done,23.09,,
r_logic_grid,3,reasoning,claude-cli:claude-opus-4-8,0,True,2,0.0,930,done,22.98,,
r_logic_grid,3,reasoning,claude-cli:claude-opus-4-8,1,True,2,0.0,965,done,30.87,,
r_logic_grid,3,reasoning,claude-cli:claude-opus-4-8,2,True,2,0.0,934,done,19.06,,
r_constraint_plan,3,reasoning,claude-cli:claude-opus-4-8,0,True,2,0.0,960,done,16.94,,
r_constraint_plan,3,reasoning,claude-cli:claude-opus-4-8,1,True,2,0.0,947,done,20.54,,
r_constraint_plan,3,reasoning,claude-cli:claude-opus-4-8,2,True,2,0.0,984,done,22.79,,
t1a_read_value,1,retrieval,claude-cli:claude-sonnet-4-6,0,True,2,0.0,846,done,17.48,,
t1a_read_value,1,retrieval,claude-cli:claude-sonnet-4-6,1,True,2,0.0,831,done,13.88,,
t1a_read_value,1,retrieval,claude-cli:claude-sonnet-4-6,2,True,2,0.0,838,done,19.19,,
t1b_count_logs,1,retrieval,claude-cli:claude-sonnet-4-6,0,True,2,0.0,854,done,23.04,,
t1b_count_logs,1,retrieval,claude-cli:claude-sonnet-4-6,1,True,2,0.0,862,done,19.19,,
t1b_count_logs,1,retrieval,claude-cli:claude-sonnet-4-6,2,True,2,0.0,863,done,20.15,,
t2a_csv_mean,2,data,claude-cli:claude-sonnet-4-6,0,True,2,0.0,879,done,16.22,,
t2a_csv_mean,2,data,claude-cli:claude-sonnet-4-6,1,True,2,0.0,886,done,20.9,,
t2a_csv_mean,2,data,claude-cli:claude-sonnet-4-6,2,True,2,0.0,879,done,15.81,,
t2b_sort_lines,2,data,claude-cli:claude-sonnet-4-6,0,True,2,0.0,911,done,15.16,,
t2b_sort_lines,2,data,claude-cli:claude-sonnet-4-6,1,True,2,0.0,906,done,15.12,,
t2b_sort_lines,2,data,claude-cli:claude-sonnet-4-6,2,True,2,0.0,893,done,15.59,,
t2c_transform,2,data,claude-cli:claude-sonnet-4-6,0,True,2,0.0,813,done,13.47,,
t2c_transform,2,data,claude-cli:claude-sonnet-4-6,1,True,2,0.0,833,done,14.72,,
t2c_transform,2,data,claude-cli:claude-sonnet-4-6,2,True,2,0.0,866,done,15.43,,
t3a_error_counts,3,agentic,claude-cli:claude-sonnet-4-6,0,True,5,0.0,2293,done,29.62,,
t3a_error_counts,3,agentic,claude-cli:claude-sonnet-4-6,1,True,5,0.0,2341,done,29.11,,
t3a_error_counts,3,agentic,claude-cli:claude-sonnet-4-6,2,True,5,0.0,2300,done,33.16,,
t3b_sum_files,3,agentic,claude-cli:claude-sonnet-4-6,0,True,7,0.0,2931,done,34.26,,
t3b_sum_files,3,agentic,claude-cli:claude-sonnet-4-6,1,True,7,0.0,3046,done,35.28,,
t3b_sum_files,3,agentic,claude-cli:claude-sonnet-4-6,2,True,7,0.0,3092,done,39.38,,
t4a_recover_fallback,4,agentic,claude-cli:claude-sonnet-4-6,0,True,3,0.0,1322,done,17.8,,
t4a_recover_fallback,4,agentic,claude-cli:claude-sonnet-4-6,1,True,3,0.0,1317,done,18.22,,
t4a_recover_fallback,4,agentic,claude-cli:claude-sonnet-4-6,2,True,3,0.0,1340,done,20.86,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-sonnet-4-6,0,True,2,0.0,988,done,16.29,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-sonnet-4-6,1,True,2,0.0,965,done,16.8,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-sonnet-4-6,2,True,2,0.0,969,done,17.5,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-sonnet-4-6,0,True,5,0.0,2193,done,31.25,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-sonnet-4-6,1,True,5,0.0,2197,done,28.97,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-sonnet-4-6,2,True,5,0.0,2213,done,27.3,,
c_impl_function,3,coding,claude-cli:claude-sonnet-4-6,0,True,1,0.0,669,done,11.28,,
c_impl_function,3,coding,claude-cli:claude-sonnet-4-6,1,True,1,0.0,655,done,15.62,,
c_impl_function,3,coding,claude-cli:claude-sonnet-4-6,2,True,1,0.0,689,done,8.97,,
c_fix_bug,3,coding,claude-cli:claude-sonnet-4-6,0,True,3,0.0,1633,done,17.25,,
c_fix_bug,3,coding,claude-cli:claude-sonnet-4-6,1,True,3,0.0,1604,done,19.53,,
c_fix_bug,3,coding,claude-cli:claude-sonnet-4-6,2,True,2,0.0,1103,done,26.49,,
c_code_transform,2,coding,claude-cli:claude-sonnet-4-6,0,True,2,0.0,1106,done,22.13,,
c_code_transform,2,coding,claude-cli:claude-sonnet-4-6,1,True,2,0.0,1084,done,15.13,,
c_code_transform,2,coding,claude-cli:claude-sonnet-4-6,2,True,3,0.0,1818,done,19.12,,
r_multi_step_math,2,reasoning,claude-cli:claude-sonnet-4-6,0,True,2,0.0,917,done,13.77,,
r_multi_step_math,2,reasoning,claude-cli:claude-sonnet-4-6,1,True,2,0.0,906,done,25.66,,
r_multi_step_math,2,reasoning,claude-cli:claude-sonnet-4-6,2,True,2,0.0,912,done,17.16,,
r_logic_grid,3,reasoning,claude-cli:claude-sonnet-4-6,0,False,8,1.0,7016,max_steps,61.85,,
r_logic_grid,3,reasoning,claude-cli:claude-sonnet-4-6,1,True,2,0.0,972,done,12.67,,
r_logic_grid,3,reasoning,claude-cli:claude-sonnet-4-6,2,True,2,0.0,949,done,12.65,,
r_constraint_plan,3,reasoning,claude-cli:claude-sonnet-4-6,0,True,2,0.0,945,done,13.97,,
r_constraint_plan,3,reasoning,claude-cli:claude-sonnet-4-6,1,True,2,0.0,941,done,13.8,,
r_constraint_plan,3,reasoning,claude-cli:claude-sonnet-4-6,2,True,2,0.0,927,done,13.12,,
t1a_read_value,1,retrieval,claude-cli:claude-haiku-4-5,0,True,2,0.0,857,done,16.37,,
t1a_read_value,1,retrieval,claude-cli:claude-haiku-4-5,1,True,2,0.0,849,done,15.69,,
t1a_read_value,1,retrieval,claude-cli:claude-haiku-4-5,2,True,2,0.0,851,done,13.35,,
t1b_count_logs,1,retrieval,claude-cli:claude-haiku-4-5,0,True,2,0.0,892,done,23.7,,
t1b_count_logs,1,retrieval,claude-cli:claude-haiku-4-5,1,True,4,0.0,1450,max_steps,20.99,,
t1b_count_logs,1,retrieval,claude-cli:claude-haiku-4-5,2,True,2,0.0,911,done,17.4,,
t2a_csv_mean,2,data,claude-cli:claude-haiku-4-5,0,True,2,0.0,958,done,12.65,,
t2a_csv_mean,2,data,claude-cli:claude-haiku-4-5,1,True,2,0.0,957,done,13.95,,
t2a_csv_mean,2,data,claude-cli:claude-haiku-4-5,2,True,2,0.0,917,done,14.68,,
t2b_sort_lines,2,data,claude-cli:claude-haiku-4-5,0,True,2,0.0,932,done,13.76,,
t2b_sort_lines,2,data,claude-cli:claude-haiku-4-5,1,True,2,0.0,953,done,13.81,,
t2b_sort_lines,2,data,claude-cli:claude-haiku-4-5,2,True,2,0.0,923,done,15.83,,
t2c_transform,2,data,claude-cli:claude-haiku-4-5,0,True,2,0.0,913,done,20.63,,
t2c_transform,2,data,claude-cli:claude-haiku-4-5,1,True,2,0.0,876,done,13.96,,
t2c_transform,2,data,claude-cli:claude-haiku-4-5,2,True,2,0.0,947,done,14.0,,
t3a_error_counts,3,agentic,claude-cli:claude-haiku-4-5,0,True,5,0.0,2733,done,33.82,,
t3a_error_counts,3,agentic,claude-cli:claude-haiku-4-5,1,True,5,0.0,2664,done,28.91,,
t3a_error_counts,3,agentic,claude-cli:claude-haiku-4-5,2,True,5,0.0,2774,done,33.18,,
t3b_sum_files,3,agentic,claude-cli:claude-haiku-4-5,0,True,7,0.0,3437,done,39.78,,
t3b_sum_files,3,agentic,claude-cli:claude-haiku-4-5,1,True,7,0.0,3513,done,37.01,,
t3b_sum_files,3,agentic,claude-cli:claude-haiku-4-5,2,True,7,0.0,3469,done,40.35,,
t4a_recover_fallback,4,agentic,claude-cli:claude-haiku-4-5,0,True,3,0.0,1396,done,18.19,,
t4a_recover_fallback,4,agentic,claude-cli:claude-haiku-4-5,1,True,3,0.0,1413,done,17.92,,
t4a_recover_fallback,4,agentic,claude-cli:claude-haiku-4-5,2,True,3,0.0,1462,done,18.25,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-haiku-4-5,0,True,2,0.0,1106,done,19.95,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-haiku-4-5,1,True,2,0.0,1111,done,18.1,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-haiku-4-5,2,True,2,0.0,1084,done,16.19,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-haiku-4-5,0,True,5,0.0,2550,done,28.27,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-haiku-4-5,1,True,5,0.0,2499,done,28.34,,
t4c_sum_skip_corrupt,4,agentic,claude-cli:claude-haiku-4-5,2,True,5,0.0,2442,done,29.87,,
c_impl_function,3,coding,claude-cli:claude-haiku-4-5,0,True,1,0.0,738,done,11.48,,
c_impl_function,3,coding,claude-cli:claude-haiku-4-5,1,True,1,0.0,711,done,9.46,,
c_impl_function,3,coding,claude-cli:claude-haiku-4-5,2,True,1,0.0,761,done,29.01,,
c_fix_bug,3,coding,claude-cli:claude-haiku-4-5,0,True,3,0.0,1802,done,21.35,,
c_fix_bug,3,coding,claude-cli:claude-haiku-4-5,1,True,3,0.0,1725,done,26.48,,
c_fix_bug,3,coding,claude-cli:claude-haiku-4-5,2,True,3,0.0,1754,done,32.2,,
c_code_transform,2,coding,claude-cli:claude-haiku-4-5,0,True,3,0.0,1857,done,22.92,,
c_code_transform,2,coding,claude-cli:claude-haiku-4-5,1,True,3,0.0,1936,done,18.51,,
c_code_transform,2,coding,claude-cli:claude-haiku-4-5,2,True,3,0.0,1923,done,22.6,,
r_multi_step_math,2,reasoning,claude-cli:claude-haiku-4-5,0,True,2,0.0,1024,done,20.2,,
r_multi_step_math,2,reasoning,claude-cli:claude-haiku-4-5,1,True,2,0.0,968,done,13.78,,
r_multi_step_math,2,reasoning,claude-cli:claude-haiku-4-5,2,True,2,0.0,970,done,20.13,,
r_logic_grid,3,reasoning,claude-cli:claude-haiku-4-5,0,True,2,0.0,1013,done,19.93,,
r_logic_grid,3,reasoning,claude-cli:claude-haiku-4-5,1,True,2,0.0,1036,done,16.04,,
r_logic_grid,3,reasoning,claude-cli:claude-haiku-4-5,2,True,2,0.0,1062,done,19.18,,
r_constraint_plan,3,reasoning,claude-cli:claude-haiku-4-5,0,True,2,0.0,1056,done,18.35,,
r_constraint_plan,3,reasoning,claude-cli:claude-haiku-4-5,1,True,2,0.0,1058,done,23.15,,
r_constraint_plan,3,reasoning,claude-cli:claude-haiku-4-5,2,True,2,0.0,986,done,14.58,,
